year,month,week,net_no,fish_no,fl,wt,sex,mat,scale_age,oto_age
2001,May,4,7,1,10.6,12.6,F,MG,NA,2
2001,May,4,7,2,10.2,11.3,M,MG,NA,4
2001,May,4,7,3,11.3,13.4,F,MT,NA,5
2001,May,4,7,4,12.5,16.4,NA,NA,NA,NA
2001,June,1,3,5,11.9,16.6,F,MG,NA,3
2001,June,1,3,6,11.9,18.3,F,MG,NA,3
2001,June,1,4,7,9.5,8.6,F,MG,NA,1
2001,June,1,4,8,9.5,9.2,M,MG,NA,1
2001,June,1,4,9,9.6,9.1,M,MG,NA,2
2001,June,1,4,10,9.7,10,F,MG,NA,1
2001,June,1,4,11,9.4,8.7,F,MG,NA,1
2001,June,1,4,12,10.6,11.9,F,MG,NA,NA
2001,June,1,4,13,9.6,8.9,NA,NA,NA,NA
2001,June,1,4,14,9.4,NA,NA,NA,NA,NA
2001,June,1,4,15,9.4,NA,F,MG,NA,NA
2001,June,1,4,16,10.9,13.9,F,MG,NA,2
2001,June,1,2,17,7,3.4,F,MG,NA,1
2001,June,1,3,18,11.5,16.5,F,MG,NA,2
2001,June,1,3,19,12.3,17.2,F,MG,NA,5
2001,June,1,3,20,11.9,17.2,F,MG,NA,5
2001,June,1,11,21,9.9,9.5,M,MG,NA,2
2001,June,1,11,22,9.9,10.1,M,MG,NA,2
2001,June,1,11,23,10.6,12.5,F,MG,NA,2
2001,June,1,12,24,10.2,11.4,F,MG,NA,2
2001,June,1,12,25,9.9,9.5,F,MG,NA,1
2001,June,1,12,26,10,10,F,MG,NA,2
2001,June,1,12,27,9.6,9.6,F,MG,NA,2
2001,June,1,12,28,9.2,8.8,F,MG,NA,2
2001,June,1,12,29,10.4,12.2,F,MG,NA,2
2001,June,1,12,30,10,10.6,F,MG,NA,2
2001,June,1,12,31,9.8,10.4,F,MG,NA,1
2001,June,1,12,32,9.8,10.4,F,MG,NA,2
2001,June,1,12,33,11.2,16,F,MG,NA,3
2001,June,1,12,34,9.5,9.2,M,MG,NA,2
2001,June,1,12,35,10.3,10.6,F,MG,NA,2
2001,June,1,12,36,10.6,10.9,F,MG,NA,2
2001,June,1,12,37,10.1,10.7,F,MG,NA,2
2001,June,1,10,38,11.5,15,F,MG,NA,3
2001,June,1,10,39,12.3,17.8,F,MG,NA,5
2001,June,1,10,40,10.9,14.5,F,MG,NA,4
2001,June,1,10,41,NA,NA,F,MG,NA,NA
2001,June,1,10,42,11.8,17.2,F,MG,NA,4
2001,June,1,10,43,12,18.7,F,MG,NA,4
2001,June,1,10,44,12.9,20.9,F,MG,NA,3
